Body Part,Skill Name,Type,Effect Description
Blubber Layer,Buoyancy,Passive,You naturally float in water. You have Advantage on Athletics checks to swim in rough water.
Blubber Layer,Impact Absorb,Reaction,"When you take Bludgeoning damage, you can reduce the damage by your Constitution modifier."
Folded Legs,Scuttle,Passive,You can move sideways or backwards at full speed without penalty.
Folded Legs,Compact,Action,Fold your limbs tight against your body to fit into spaces one size smaller than you.
Suction Pad,Anchor,Reaction,"Advantage on checks to avoid being Moved, Shoved, or Pulled against your will."
Suction Pad,Wall Cling,Passive,"You can adhere to smooth surfaces (glass, wet stone) and climb without checks."
Dorsal Fin,Stabilizer,Passive,You cannot be knocked Prone while underwater.
Dorsal Fin,Cutwater,Action,"Charge through water. If you move 20ft, your next attack deals extra slashing damage."
Ink Sacs,Smokescreen,Reaction,"When attacked, release an ink cloud (5ft radius). Attackers are Blinded and you can Disengage."
Ink Sacs,Slick,Action,Spray ink on the ground. It becomes difficult terrain; creatures must save (Dex) or fall Prone.
Color Change,Chromatophore,Action,Match your surroundings perfectly. Turn Invisible until you move or attack.
Color Change,Flash Pattern,Action,Rapidly cycle colors to confuse an enemy. Target has Disadvantage on their next attack.
Tooth Rows,Shred,Passive,Your bite attacks deal Bleed damage (1d4) at the start of the target's next turn.
Tooth Rows,Regrow,Utility,"If you lose teeth (or break them on armor), they grow back fully after a Long Rest."
Heavy Scales,Deflection,Reaction,Gain +2 AC against a single melee attack by turning your armored side to the blow.
Heavy Scales,Ram,Action,Slam your armored body into an enemy. Deal Bludgeoning damage and shove them 5ft.
Crab Claw,Crush,Bonus,"If you have a target Grappled, deal automatic Bludgeoning damage to them."
Crab Claw,Shield Arm,Passive,You can use your large claw as a Shield (+2 AC) if you are not holding anything in it.
Tentacle,Reach,Passive,Your melee reach increases by 5ft.
Tentacle,Wrap,Action,"Attempt to Grapple a target. If successful, they are Restrained (cannot move or attack easily)."
Electric Nodes,Shock,Action,Touch attack. Target takes Lightning damage and cannot take Reactions until their next turn.
Electric Nodes,Bio-Sense,Passive,"Detect the heartbeat (electricity) of living creatures within 10ft, even through walls."
Webbed Hands,Propel,Passive,You gain a Swim Speed equal to your Walk Speed.
Webbed Hands,Push,Action,Blast a wave of water at a target. They must save (Strength) or be pushed back 10ft.
Angler Light,Lure,Action,Shine your light in darkness. A creature that looks at it must save (Will) or move toward you.
Angler Light,Flashbang,Action,Flare your light. Creatures within 10ft must save (Con) or be Blinded for 1 round.
Blowhole,Deep Dive,Passive,You can hold your breath for 1 hour.
Blowhole,Spout,Action,Spray a high-pressure jet of water. Extinguish fires or blind a target for 1 turn.
Throat Sac,Resonate,Action,"Amplify your voice. All creatures in 30ft can hear you clearly, even underwater."
Throat Sac,Storage,Utility,Swallow an object size Small or smaller to carry it safely in your pouch.
Barnacles,Abrasive,Passive,Enemies that Grapple you take Slashing damage every turn from your rough skin.
Barnacles,Friction,Passive,You have Advantage on checks to maintain a Grapple on slippery enemies.
Moist Skin,Slippery,Reaction,Advantage on checks to escape a Grapple or bindings.
Moist Skin,Respire,Passive,You can breathe underwater as long as your skin remains wet.
Poison Sting,Neurotoxin,Action,Sting a target. They must save (Con) or be Paralyzed for 1 round.
Poison Sting,Tail Lash,Bonus,Make a quick sting attack against an enemy flanking you.
Star Scales,Sandpaper,Passive,Your skin acts as a grinding tool; you can wear through ropes or wood over time.
Star Scales,Toughness,Reaction,Reduce damage from a Slashing attack by half (scales are hard as teeth).
Ear Holes,Hydro-Hearing,Passive,You have no penalty to Perception (Hearing) while underwater.
Ear Holes,Streamline,Passive,Your Swim speed increases by +10ft (drag reduction).
Jointless Limbs,Elastic,Action,Stretch your arm to reach an object or ledge up to 10ft away.
Jointless Limbs,Squeeze,Passive,Move through any opening large enough for your beak/head without slowing down.
Long Fingers,Snatch,Reaction,"Catch a small moving object (fish, arrow, coin) out of the air/water."
Long Fingers,Dexterity,Passive,Advantage on Sleight of Hand checks to manipulate fine mechanisms.
Blue Skin,Pelagic Camo,Passive,Advantage on Stealth checks while submerged in water.
Blue Skin,Deep Dweller,Passive,You are immune to the effects of extreme water pressure.
Skill Name,Required Body Part,Effect,
Biolume,Photophores,Shed light 20ft (Gloss/Shine).,
Squeeze,Flexible Bones,Move through Tiny spaces.,
Padding,Blubber,Reduce Bludgeoning Dmg by 2.,
Slippery,Mucus Skin,Advantage on checks to escape Grapple (Renamed from Grease).,
Pressure,Deep Body,Immune to crushing depths.,
Prehensile,Tentacle,Limb can hold light object.,
